21 81
-3.147687884553566e-02 -3.018426016044172e-03 0.000000000000000e+00
-3.153690619012224e-02 -1.859664720721504e-03 0.000000000000000e+00
-3.156830108283804e-02 -6.997585393955090e-04 0.000000000000000e+00
-3.157101669040632e-02 4.605703801500644e-04 0.000000000000000e+00
-3.154557065636674e-02 1.620619547989440e-03 0.000000000000000e+00
-3.149205852677585e-02 2.779710584926343e-03 0.000000000000000e+00
-3.141068197736257e-02 3.937177930400597e-03 0.000000000000000e+00
-3.130173373709540e-02 5.092376460719044e-03 0.000000000000000e+00
-3.116561793924356e-02 6.244691481789920e-03 0.000000000000000e+00
-3.100153586629802e-02 7.393345716448862e-03 0.000000000000000e+00
-3.081124709080843e-02 8.537919235980553e-03 0.000000000000000e+00
-3.059542773109414e-02 9.677923536177298e-03 0.000000000000000e+00
-3.035477500790184e-02 1.081291479624959e-02 0.000000000000000e+00
-3.008998889455265e-02 1.194248951970677e-02 0.000000000000000e+00
-2.980026919582646e-02 1.306588171547898e-02 0.000000000000000e+00
-2.948805294319934e-02 1.418315533967849e-02 0.000000000000000e+00
-2.915419850559410e-02 1.529407951786233e-02 0.000000000000000e+00
-2.879891930557047e-02 1.639825908039905e-02 0.000000000000000e+00
-2.842239051981053e-02 1.749526982478813e-02 0.000000000000000e+00
-2.802684584055059e-02 1.858543571605441e-02 0.000000000000000e+00
-2.761240768336561e-02 1.966842465297559e-02 0.000000000000000e+00
-2.717919745766796e-02 2.074387930483328e-02 0.000000000000000e+00
-2.672957643201820e-02 2.181237810769514e-02 0.000000000000000e+00
-2.626249243448150e-02 2.287315853285024e-02 0.000000000000000e+00
-2.578012133067714e-02 2.392681878884315e-02 0.000000000000000e+00
-2.528248869121743e-02 2.497309056324158e-02 0.000000000000000e+00
-2.477043661357542e-02 2.601207097431984e-02 0.000000000000000e+00
-2.424475324413793e-02 2.704388190024834e-02 0.000000000000000e+00
-2.370593816692618e-02 2.806851659111359e-02 0.000000000000000e+00
-2.315459778451386e-02 2.908605368548885e-02 0.000000000000000e+00
-2.259176654893575e-02 3.009681295755200e-02 0.000000000000000e+00
-2.201704737184522e-02 3.110037687550888e-02 0.000000000000000e+00
-2.143238678130169e-02 3.209761695563004e-02 0.000000000000000e+00
-2.083680055773533e-02 3.308779983148806e-02 0.000000000000000e+00
-2.023180920883756e-02 3.407161784286927e-02 0.000000000000000e+00
-1.961813772511527e-02 3.504934196636417e-02 0.000000000000000e+00
-1.899486800745408e-02 3.602026627075376e-02 0.000000000000000e+00
-1.836365518887921e-02 3.698524185604611e-02 0.000000000000000e+00
-1.772492234520192e-02 3.794440039110978e-02 0.000000000000000e+00
-1.707847848497149e-02 3.889749103346943e-02 0.000000000000000e+00
-1.642473295137682e-02 3.984464477207047e-02 0.000000000000000e+00
-1.576452736242486e-02 4.078628674564216e-02 0.000000000000000e+00
-1.509816241994282e-02 4.172250590537484e-02 0.000000000000000e+00
-1.442592800594866e-02 4.265339057892561e-02 0.000000000000000e+00
-1.445414319168776e-02 -4.061911255121231e-02 0.000000000000000e+00
-1.511783162028113e-02 -3.972581012509485e-02 0.000000000000000e+00
-1.577540690828202e-02 -3.882634264805737e-02 0.000000000000000e+00
-1.642655652528448e-02 -3.792063851458666e-02 0.000000000000000e+00
-1.707095155956083e-02 -3.700862320276342e-02 0.000000000000000e+00
-1.770747567257461e-02 -3.608973690595520e-02 0.000000000000000e+00
-1.833619628795652e-02 -3.516418376531191e-02 0.000000000000000e+00
-1.895704265961261e-02 -3.423207886862149e-02 0.000000000000000e+00
-1.956908327577683e-02 -3.329302462956132e-02 0.000000000000000e+00
-2.017161520746618e-02 -3.234678417858709e-02 0.000000000000000e+00
-2.076506299570669e-02 -3.139379198223557e-02 0.000000000000000e+00
-2.134795437220281e-02 -3.043339875838121e-02 0.000000000000000e+00
-2.192021233658839e-02 -2.946577001687764e-02 0.000000000000000e+00
-2.248171377734182e-02 -2.849104942040026e-02 0.000000000000000e+00
-2.303064248328746e-02 -2.750849464884145e-02 0.000000000000000e+00
-2.356822022390310e-02 -2.651897989561051e-02 0.000000000000000e+00
-2.409158902820362e-02 -2.552131010791427e-02 0.000000000000000e+00
